model,label,axis_label,unit,aspcap_label,n,median,mad_sigma,p16,p84,mean,std
payne_mlp,Teff,$T_{\rm eff}$,K,TEFF,6603,-57.85595703125,115.4907755859375,-167.53972656250002,69.92183593749999,-48.319051125257936,129.21123446156335
payne_mlp,logg,$\log g$,dex,LOGG,6603,0.11617827415466309,0.20431002430915832,-0.09303985595703125,0.32686321735382073,0.11634283134716308,0.22605486843001785
payne_mlp,Fe_H,[Fe/H],dex,FE_H,6603,0.05548149347305298,0.08431101930141449,-0.020815032161772256,0.15365606784820557,0.0669522591016825,0.09757012774969297
kan_payne,Teff,$T_{\rm eff}$,K,TEFF,1642,-66.305908203125,68.15580249023436,-132.215400390625,6.485156250000019,-61.83173908414852,75.80397647693788
kan_payne,logg,$\log g$,dex,LOGG,1642,0.14398318529129028,0.16126591166853904,-0.02548229694366455,0.30387989044189456,0.13589808427877315,0.1899594166022477
kan_payne,Fe_H,[Fe/H],dex,FE_H,1642,0.030506372451782227,0.0404475359223783,-0.007336833477020264,0.07618674755096437,0.0336701274240031,0.0450747185555051
transformer_payne,Teff,$T_{\rm eff}$,K,TEFF,5006,-95.321533203125,135.73861772460936,-231.69619140625,32.866015624999996,-95.91349901602452,129.1342179422504
transformer_payne,logg,$\log g$,dex,LOGG,5006,0.1554606854915619,0.20486445672512052,-0.059175920486450186,0.35831744670867915,0.14593923682606655,0.2328033486975379
transformer_payne,Fe_H,[Fe/H],dex,FE_H,5006,0.028485506772994995,0.05605281679630279,-0.02343373894691467,0.09264298677444457,0.03475059319191355,0.0649882249052291
