model,label,unit,n,median,mad_sigma,p16,p84,mean,std
Payne-MLP,Teff,K,9117,-62.8583984375,124.77584765625,-182.0117578125,78.03746093749993,-50.85747528076172,144.89871215820312
Payne-MLP,logg,dex,9117,0.1048121452331543,0.22216002631187437,-0.12164876937866212,0.33004639625549304,0.10626402497291565,0.24547125399112701
Payne-MLP,Fe_H,dex,9117,0.048328667879104614,0.0880174163505435,-0.03197284519672394,0.1516453093290329,0.06023446097970009,0.10463216155767441
KAN-Payne,Teff,K,9117,-17.3955078125,112.88536669921875,-120.93935546875001,108.18210937499998,-4.226157188415527,129.82826232910156
KAN-Payne,logg,dex,9117,0.1965925693511963,0.1993885308265686,3.59582901000942e-05,0.41803635597228983,0.2067030817270279,0.2504420280456543
KAN-Payne,Fe_H,dex,9117,0.037020981311798096,0.052766077101230616,-0.014685305804014207,0.09464407503604888,0.04115978255867958,0.06544797122478485
TransformerPayne,Teff,K,9117,-47.09326171875,136.40933496093749,-193.471328125,83.7605078125,-47.464298248291016,148.3986053466797
TransformerPayne,logg,dex,9117,0.1726994514465332,0.1933542842388153,-0.026649532318115243,0.3722935652732849,0.17062541842460632,0.2349717766046524
TransformerPayne,Fe_H,dex,9117,0.035184502601623535,0.060859694588184354,-0.02033111572265625,0.10503720521926879,0.0447566993534565,0.08012285828590393
