model,label,fit_file,n_total,n_success,n_quality,success_fraction,quality_fraction,chi2_max,mae_x1e4_max,chi2_n,chi2_median,chi2_mad_sigma,chi2_p16,chi2_p84,chi2_mean,chi2_std,mae_x1e4_n,mae_x1e4_median,mae_x1e4_mad_sigma,mae_x1e4_p16,mae_x1e4_p84,mae_x1e4_mean,mae_x1e4_std
payne_mlp,Payne-MLP,data/processed/formal_a100_10k_20260620_161437/apogee_inference_10k_payne_norm/apogee_fit_payne_mlp_10k_payne_norm.npz,10000,10000,6603,1.0,0.6603,21.195913314819418,380.46460083007855,6603,3.4416286945343018,1.8594885576725004,2.137017221450806,7.219017200469967,4.6148349995524995,3.2753899886759483,6603,141.43081665039062,53.99775975952148,96.07893035888672,208.74003784179686,152.70338656009372,59.605619152127936
kan_payne,KAN-Payne,data/processed/formal_a100_10k_20260620_161437/apogee_inference_10k_payne_norm/apogee_fit_kan_payne_10k_payne_norm.npz,10000,10000,1642,1.0,0.1642,15.253396282196045,320.62371948242185,1642,3.644986629486084,2.228874515390396,2.067406873703003,7.333111877441406,4.586786105412078,2.878913136753895,1642,133.2230682373047,44.689578620910645,93.50571655273437,185.69276733398436,140.28401774407595,48.205672739028515
transformer_payne,TransformerPayne,data/processed/formal_a100_10k_20260620_161437/apogee_inference_10k_payne_norm/apogee_fit_transformer_payne_10k_payne_norm.npz,10000,10000,5006,1.0,0.5006,40.68459426879883,415.4137524414063,5006,5.4292662143707275,3.9568249102592468,2.7931639194488525,14.11066837310791,8.132186988402118,7.010824375742582,5006,167.47660064697266,65.80496662902831,111.97541046142578,246.5582489013672,178.89617803560654,67.67250955761396
