model,n_total,n_model_quality,n_common_quality,model_quality_fraction,common_quality_fraction,chi2_cut,mae_x1e4_cut,chi2_median_common,mae_x1e4_median_common
Payne-MLP,10000,9244,9117,0.9244,0.9117,32.24626224517825,413.12466400146496,3.831897497177124,148.68743896484375
KAN-Payne,10000,9526,9117,0.9526,0.9117,32.701242027282724,410.715368347168,3.8082659244537354,147.394775390625
TransformerPayne,10000,9408,9117,0.9408,0.9117,48.172278327942095,451.0303674316406,5.105648517608643,166.31996154785156
