model,label,n_total,n_success,n_atmospheric_quality,atmospheric_quality_fraction,chi2_cut,mae_x1e4_cut,chi2_median,mae_x1e4_median
payne_mlp,Payne-MLP,10000,10000,9244,0.9244,32.24626224517825,413.12466400146496,3.869143486022949,149.6810760498047
kan_payne,KAN-Payne,10000,10000,9526,0.9526,32.701242027282724,410.715368347168,3.949164867401123,149.8819122314453
transformer_payne,TransformerPayne,10000,10000,9408,0.9408,48.172278327942095,451.0303674316406,5.233949661254883,168.57447814941406
