model,label,unit,n,aspcap_init_median,aspcap_init_mad_sigma,midpoint_init_median,midpoint_init_mad_sigma,midpoint_minus_aspcap_init_median,midpoint_minus_aspcap_init_mad_sigma
KAN-Payne,Teff,K,1000,-6.305419921875,117.8786392211914,-9.0556640625,108.3807373046875,0.031494140625,14.618595123291016
KAN-Payne,logg,dex,1000,0.23984992504119873,0.21136502921581268,0.2535284757614136,0.221551775932312,0.0004805326461791992,0.01911916956305504
KAN-Payne,Fe_H,dex,1000,0.04694453626871109,0.056279506534338,0.04458874464035034,0.059141892939805984,8.940696716308594e-08,0.011244664900004864
Payne-MLP,Teff,K,1000,-41.2032470703125,121.06138610839844,-60.32373046875,141.84239196777344,-25.843994140625,125.40095520019531
Payne-MLP,logg,dex,1000,0.15781795978546143,0.23553714156150818,0.18945026397705078,0.23464062809944153,0.030742168426513672,0.16317880153656006
Payne-MLP,Fe_H,dex,1000,0.07163344323635101,0.10083112120628357,0.0769338458776474,0.10492894798517227,0.0035424232482910156,0.06659869849681854
