model,n_common_success,aspcap_init_chi2_median,midpoint_init_chi2_median,aspcap_init_mae_x1e4_median,midpoint_init_mae_x1e4_median
KAN-Payne,1000,3.922412872314453,3.911978244781494,142.3057861328125,142.54483032226562
Payne-MLP,1000,3.9547228813171387,3.951171398162842,143.58645629882812,144.28363037109375
